"# of Use","# de uso"
"%1$s incl tax.","%1$ incluido taxas."
"%s - %s","%s - %s"
"%s and above","%s and above"
"%s Item(s)","%s Artículo(s)"
"%s-%s of %s","%s-%s of %s"
"(%d)","(%d)"
"(Copy data from: %s)","(copiar datos desde: %s)"
"* Required Fields","* Campos requeridos"
"-- Please Select --","-- Por favor, seleccione --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"A group with the same name already exists.","A group with the same name already exists."
"A name is required","Se requiere un nombre"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"Action","Acción"
"Actual Price","Actual Price"
"Add","Add"
"Add Attribute","Agregar un atributo"
"Add attribute into attribute set","Add attribute into attribute set"
"Add Design Change","Agregar un cambio de diseño"
"Add Group","Agregar un grupo"
"Add group into attribute set","Add group into attribute set"
"Add Group Price","Add Group Price"
"Add New","Agregar nuevo"
"Add New Attribute","Agregar un nuevo atributo"
"Add New Attribute Set","Agregar un nuevo conjunto de atributos"
"Add new custom option into product","Add new custom option into product"
"Add New Group","Agregar un nuevo grupo"
"Add New Images","Agregar nuevas imágenes"
"Add New Option","Añadir nueva opción"
"Add New Row","Añadir nueva fila"
"Add New Search Term","Agregar un nuevo término de búsqueda"
"Add New Set","Agregar un nuevo conjunto"
"Add new values into custom option","Add new values into custom option"
"Add option","Add option"
"Add Product","Agregar un producto"
"Add Product To Websites","Agregar el producto a los websites"
"Add Root Category","Añadir categoria padre"
"Add Subcategory","Añadir subcategoria"
"Add Tax","Añadir Taxa"
"Add Tier","Agregar un nuevo escalón"
"Add to Cart","Agregar al carrito"
"Add to Compare","Agregar a la lista de comparación"
"Add to Wishlist","Agregar a la lista de artículos de interés"
"Additional Information","Información adicional"
"Alert Urls","Alert Urls"
"All","Todo"
"ALL GROUPS","TODOS LOS GRUPOS"
"All Product Types","Todos los tipos de productos"
"All products","All products"
"All products - recently added products, New products - products marked as new","All products - recently added products, New products - products marked as new"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos los productos seran eliminados. ¿Esta seguro que quiere eliminar-los?"
"All Websites","All Websites"
"Allow All Products per Page","Allow All Products per Page"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"Allow HTML Tags on Frontend","Allow HTML Tags on Frontend"
"Allowed File Extensions","Permitir extenciones de ficheros"
"Allowed file extensions to upload","Permitir extenciones de ficheros para descargar"
"AM","AM"
"An error occurred while adding products to websites.","An error occurred while adding products to websites."
"An error occurred while clearing comparison list.","An error occurred while clearing comparison list."
"An error occurred while deleting this review.","An error occurred while deleting this review."
"An error occurred while removing products from websites.","An error occurred while removing products from websites."
"An error occurred while saving the attribute set.","An error occurred while saving the attribute set."
"An error occurred while saving the collection, aborting. Error message: %s","An error occurred while saving the collection, aborting. Error message: %s"
"An error occurred while saving the product. ","An error occurred while saving the product. "
"An error occurred while saving the search query.","An error occurred while saving the search query."
"An error occurred while saving the URL rewrite","An error occurred while saving the URL rewrite"
"An error occurred while saving this group.","An error occurred while saving this group."
"An error occurred while saving this review.","An error occurred while saving this review."
"An error occurred while trying to delete the category.","An error occurred while trying to delete the category."
"An error occurred while updating the product(s) attributes.","An error occurred while updating the product(s) attributes."
"An error occurred while updating the product(s) status.","An error occurred while updating the product(s) status."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"An invalid store was specified.","An invalid store was specified."
