"%s and greater","%s y mayor"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Advanced Search","Búsqueda Avanzada"
"Advanced Search Form","Advanced Search Form"
"Advanced Search Result","Advanced Search Result"
"All","Todo"
"Applies for ""Like"" search type only.","Applies for ""Like"" search type only."
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process."
"Autogenerated Site Map","Autogenerated Site Map"
"Catalog Advanced Search","Búsqueda avanzada en el catálogo"
"Catalog Search","Búsqueda del catálago"
"Catalog Search Index","Catalog Search Index"
"Don't see what you're looking for?","¿No puede encontrar lo que estás buscando?"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
"Go","Ir"
"Go to Home Page","Ir a la pagina de inicio"
"Grid","Cuadrícula"
"Home","Inicio"
"List","Lista"
"Maximum Query Length","Longitud máxima de la búsqueda"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query length is %s. Your query was cut.","Maximum Search query length is %s. Your query was cut."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximum words count is %1$s. In your search query was cut next part: %2$s."
"Minimal Query Length","Minimal Query Length"
"Minimum Search query length is %s","Minimum Search query length is %s"
"Modify your search","Modifique su búsqueda"
"No","No"
"No items were found using the following search criteria.","No se han encontrado resultados con esta búsqueda"
"Please specify at least one search term.","Please specify at least one search term."
"Popular Search Terms","Términos de Búsqueda Populares"
"Quick Search Form","Quick Search Form"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Relevance","Relevance"
"Results","Resultados"
"Search","Buscar"
"Search entire store here...","Buscar en toda la tienda..."
"Search results for '%s'","Resultados de la búsqueda para '%s'"
"Search results for: '%s'","Resultados de la búsqueda para: '%s'"
"Search Settings","Configuraciones de la búsqueda"
"Search Terms","Términos de búsqueda"
"Search Type","Tipo de búsqueda"
"Search:","Search:"
"Specified date is invalid.","Specified date is invalid."
"Subscribe to Feed","Subscripción al  canal"
"There are no search terms available.","No existen términos de búsqueda disponibles."
"up to %s","hasta %s"
"Yes","Si"
"Your search returns no results.","Su búsqueda no devolvió resultados."
