"%s was added to your shopping cart.","%s se añadió a su Carrito de Compras."
"%s was updated in your shopping cart.","%s se actualizó en su Carrito de Compras."
"(Excl. Tax)","(No Incluye Impuestos)"
"(Incl. Tax)","(Incl. Impuestos)"
"* Required Fields","* Campos Requeridos"
"Add coupon code for shopping cart","Agregar código de cupón al Descuento"
"Add gift messages to shopping cart","Agregar mensaje de regalo al Carrito"
"Add New Address","Agregar nuevas direcciones"
"Add New Condition","Añadir nueva  condición"
"Add product to shopping cart","Agregar producto al Carrito de Compras"
"Add product(s) to shopping cart","Agregar producto(s) al Carrito de Compras"
"Add to Cart","Agregar al carrito"
"Add to Compare","Agregar a la lista de comparación"
"Add to Wishlist","Agregar a la lista de artículos de interés"
"Additional Product Info","Información Adicional del Producto"
"Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"After Adding a Product Redirect to Shopping Cart","Después de agregar un Producto ir al Carrito de Compras"
"Allow Guest Checkout","Permitir comprar a los invitados"
"Already registered?","¿Ya está registrado?"
"An error occurred in the process of payment","Un error ha ocurrido en el proceso de pago"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply","Aplicar"
"Apply Coupon","Aplicar un cupón"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","¿Está seguro de abandonar esta página? Deberá pasar por los pasos de realizar Pedido de nuevo."
"Are you sure you would like to remove this item from the shopping cart?","¿Está seguro de quitar este artículo del carrito de compras?"
"Back","Volver atrás"
"Back to Billing Information","Volver a Información de Facturación"
"Back to Select Addresses","Volver a Selección de Dirección"
"Back to Shipping Information","Volver a la información de envío"
"Back to Shopping Cart","Volver al Carrito de Compras"
"Based on your selection, you may be interested in the following items:","Probablemente le interesen también los siguientes artículos:"
"Billing Address","Dirección de facturación"
"Billing Information","Información  de facturación"
"Billing Information - %s","Información  de facturación - %s"
"Can not remove the item.","No se puede quitar este item."
"Can not save item.","Can not save item."
"Cancel","Cancelar"
"Cancel Coupon","Cancelar cupón"
"Cannot add item to the shopping cart.","No se puede agregar el producto al Carrito de Compras."
"Cannot add the item to shopping cart","No se puede agregar el producto al Carrito de Compras."
"Cannot add the item to shopping cart.","No se puede agregar el producto al Carrito de Compras."
"Cannot apply the coupon code.","No se puede aplicar el código de cupón."
"Cannot configure product.","No se puede configurar el producto."
"Cannot open the overview page","Cannot open the overview page"
"Cannot process the item.","No se puede procesar el item."
"Cannot remove the item.","No se puede quitar el item."
"Cannot update shopping cart.","No se puede actualizar el Carrito de Compras."
"Cannot update the item.","No se puede actualizar el item."
"Card Verification Number Visual Reference","Referencia visual del número de verificación de la tarjeta"
"Cart","Carrito"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Subtotal del carrito:"
"Change","Cambio"
"Change Billing Address","Cambiar la dirección de facturación"
"Checkbox Text","Texto de Checkbox"
"Checkout","Realizar Pedido"
"Checkout as a Guest or Register","Realizar Pedido como Invitado o Registrarse"
"Checkout as Guest","Realizar Pedido como Invitado"
"Checkout Conditions","Texto de condiciones"
"Checkout Forms Extra","Checkout Forms Extra"
"Checkout Method","Método de Pago"
"Checkout Options","Opciones de Compra"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Texto sección"
"Checkout Terms and Conditions","Términos y condiciones"
"Checkout with Multiple Addresses","Comprar con múltiples direcciones"
"City","Ciudad"
"Clear Shopping Cart","Vaciar Carrito de Compras."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Haga click <a href=""%s"" onclick=""this.target='_blank'"">aquí para imprimir</a> una copia del  pedido."
"Click <a href=""%s"">here</a> to continue shopping.","Haga click <a href=""%s"">aquí</a> para continuar comprando."
"Close","Cerrar"
"Company","Compañia"
"Condition Name","Nombre de condición"
"Configurable Product Image","Configurable Product Image"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Confirmar la contraseña"
"Content","Contenido"
"Content Height","Alto contenido"
"Content Height (css)","Alto contenido (css)"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar hacia la información de facturación"
"Continue to Review Your Order","Continuar a la verificación de su pedido"
"Continue to Shipping Information","Continuar a la información de envío"
"Country","País"
"Coupon code ""%s"" is not valid.","El código del cupón ""%s"" no es válido."
"Coupon code ""%s"" was applied.","El código del cupón ""%s"" fue aplicado."
"Coupon code was canceled.","El código del cupón fue cancelado."
"Create an order from shopping cart","Crear una orden del Carrito de Compras."
"Create Billing Address","Crear una dirección de facturación"
"Create Shipping Address","Crear una dirección de envío"
"Create shopping cart","Crear carrito de compras."
"Customer Address is not valid.","Los datos del cliente no son correctos"
"Customer Information","Información del Cliente"
"Customer's information","Información del Cliente"
"Data saving problem","Problema al grabar los datos"
"Default Billing","Facturación por defecto"
"Default Shipping","Envío por defecto"
"Delete Condition","Eliminar condición"
"Details","Detalles"
"Disabled","Desactivar"
"Discount Codes","Códigos de descuento"
"Display Cart Summary","Mostrar resumen del carrito"
"Display item quantities","Mostrar las cantidades de los artículos"
"Display number of items in cart","Mostrar el número de artículos en el carrito"
"Display number of items in wishlist","Mostrar el número de artículos en la lista de deseos"
"Display Shopping Cart Sidebar","Mostrar el carrito de compras en la barra horizontal"
"Easy access to your order history and status","Fácil acceso a su historial de compras y estado"
"Edit","Editar"
"Edit Address","Editar la dirección"
"Edit Billing Address","Editar la información de facturación"
"Edit Condition","Editar Condición"
"Edit item","Editar Artículo"
"Edit item parameters","Editar Parámetros de Artículo"
"Edit Items","Editar los artículos"
"Edit Shipping Address","Editar la dirección de envío"
"Edit Terms and Conditions","Editar términos y condiciones"
"Edit Your Cart","Editar su carrito"
"Email Address","Dirección de correo electrónico"
"Empty Cart","Carrito de Compras Vacío"
"Empty Shopping Cart Content Before","Vaciar Carrito de Compras antes."
"Enable Onepage Checkout","Habilitar Orden de una sola página."
"Enable Terms and Conditions","Habilitar Términos y Condiciones"
"Enabled","Activar"
"Enter a New Address","Ingrese una nueva dirección"
"Enter your coupon code if you have one.","Ingrese su código de cupón si tiene uno."
"Enter your destination to get a shipping estimate.","Ingrese su destino para obtener un precio estimado de envío."
"Estimate","Estimado"
"Estimate Shipping and Tax","Estimar envío e impuestos"
"Excl. Tax","No incluye Impuestos"
"Fast and easy check out","Compra rápida y fácil"
"Fax","Fax"
"Forgot an Item?","¿Olvidó un artículo?"
"Forgot your password?","¿Olvidó su contraseña?"
"Get a Quote","Obtener un presupuesto"
"Get list of available payment methods","Obtener una lista de métodos de pago disponibles"
"Get list of available shipping methods","Obtener una lista de métodos de envío disponibles"
"Get list of products in shopping cart","Obtener una lista de productos en el carrito de compras"
"Get terms and conditions","Obtener términos y condiciones"
"Get total prices for shopping cart","Obtener precio total del carrito de compras"
"Gift Message","Mensaje para el Regalo"
"Grand Total:","Suma total:"
"Grouped Product Image","Grouped Product Image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Impuestos"
"Invalid checkout type.","Invalid checkout type."
"Invalid data.","Datos inválidos."
"Invalid email address ""%s""","El correo ""%s"" no es correcto"
"Invalid method: %s","Invalid method: %s"
"Invalid shipping method.","Método de envío inválido"
"Item not found or already ordered","Item not found or already ordered"
"Item was removed successfully.","Item was removed successfully."
"Item was updated successfully.","Item was updated successfully."
"Items","Artículos"
"Items After","Items After"
"Items Before","Items Before"
"Load customer quote error","Error al cargar el presupuesto del cliente"
"Loading next step...","Cargando el siguiente paso..."
"Login","Acceder"
"Login/Registration Before","Login/Registration Before"
"Manage Terms and Conditions","Manage Terms and Conditions"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","La máxima cantidad para envíos a direcciones múltiples es  %s"
"Mini-cart promotion block","Mini-cart promotion block"
"Minimum order amount is %s","Minimum order amount is %s"
"Move","Mover"
"Move to Wishlist","Mover a la lista de deseos"
"Multishipping Checkout","Multishipping Checkout"
"Multishipping Checkout Address (Any) Form","Multishipping Checkout Address (Any) Form"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Billing Address Selection"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Billing Information Step"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Customer Address Edit Form"
"Multishipping Checkout Overview","Multishipping Checkout Overview"
"Multishipping Checkout Shipping Address Creation","Multishipping Checkout Shipping Address Creation"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Checkout Shipping Address Edit Form"
"Multishipping Checkout Shipping Address Selection","Multishipping Checkout Shipping Address Selection"
