"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"* Required Fields","* Campos requeridos"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Se requiere confirmación de su cuenta. Por favor, revise su correo electrónico por un enlace de confirmación. Para reenviar la confirmación haga <a href=""%s"">click aquí</a>."
"Account Dashboard","Panel de Control"
"Account Information","Información de la cuenta"
"Account Sharing Options","Opciones para compartir la cuenta"
"Action","Acción"
"Add New Address","Agregar una nueva dirección"
"Add New Customer","Agregar un nuevo cliente"
"Add New Customer Group","Agregar un nuevo grupo de clientes"
"Added From","Agregado desde"
"Additional Address Entries","Entradas adicionales de domicilio"
"Address","Dirección"
"Address Book","Libreta de direcciones"
"Address Books","Address Books"
"Address Information","Información de la dirección"
"Address Templates","Address Templates"
"Addresses","Direcciones"
"Admin","Administración"
"All","Todo"
"All countries","Todos los países"
"ALL GROUPS","Todos los grupos"
"All Store Views","Todas las vistas de tienda"
"Always optional.","Siempre opcional."
"Amount","Importe"
"An error occurred while deleting the address.","An error occurred while deleting the address."
"An error occurred while retrieving the option value: %s.","An error occurred while retrieving the option value: %s."
"An error occurred while saving the collection, aborting. Error: %s","An error occurred while saving the collection, aborting. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"Approved","Aprobado"
"Are you sure that you want to remove this item?","¿Seguro que desea quitar este artículo?"
"Are you sure you want to cancel adding of this address?","¿Seguro que desea cancelar el añadido de esta dirección?"
"Are you sure you want to delete this address?","¿Seguro que desea borrar esta dirección?"
"Are you sure?","¿Está seguro?"
"Array of Entity collections is expected.","Array of Entity collections is expected."
"Assign a Customer Group","Assign a Customer Group"
"Average Sale","Promedio de ventas"
"Back","Volver atrás"
"Back - link to the previously viewed page","Back - link to the previously viewed page"
"Back to Login","Volver al Inicio de sesión"
"Bad request.","Solicitud incorrecta"
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Based on the VAT ID, the customer would belong to the Customer Group %s."
"Bill to Name","Nombre de la cuenta"
"Bought From","Comprado desde"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, podrá realizar el proceso de compra más rápidamente, indicar un envío a múltiples direcciones, ver y hacer un seguimiento de sus Pedidos y mucho más. "
"Cancel","Cancelar"
"Cannot save a new password.","Cannot save a new password."
"Cannot save address.","Cannot save address."
"Cannot save the customer.","Cannot save the customer."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged."
"Change Account Password","Cambiar la contraseña de la cuenta"
"Change Billing Address","Cambiar la dirección de facturación"
"Change Password","Cambiar la contraseña de la cuenta"
"Change Shipping Address","Cambiar la dirección de envío"
"City","Ciudad"
"Company","Compañía"
"Config","Configuración"
"Configure","Configure"
"Confirm New Password","Confirmar la nueva contraseña"
"Confirm Password","Confirmar la contraseña"
"Confirmation Link Email","Enlace de correo electrónico de confirmación"
"Confirmed","Confirmado"
"Contact Information","Información de contacto"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Crear"
"Create an Account","Crear una cuenta"
"Create customer","Crear cliente"
"Create customer address","Crear dirección cliente"
"Create New Account Options","Crear nuevas opciones para las cuentas"
"Create New Customer Account","Crear una nueva cuenta de cliente"
"Create Order","Crear un Pedido"
"CSV","CSV"
"Current Admin Password","Current Admin Password"
"Current Password","Contraseña actual"
"Customer","Cliente"
"Customer Account Edit Form","Customer Account Edit Form"
"Customer Account Login Form","Customer Account Login Form"
"Customer Account Logout Success","Customer Account Logout Success"
"Customer Account Registration Form","Customer Account Registration Form"
"Customer Addresses","Direcciones del cliente"
"Customer API","Customer API"
"Customer collection expected.","Customer collection expected."
"Customer Configuration","Configuración del cliente"
"Customer email is required","Customer email is required"
"Customer Forgot Password Form","Customer Forgot Password Form"
"Customer Group","Grupo del cliente"
"Customer Groups","Grupos de clientes"
"Customer Information","Información del cliente"
"Customer Login","Acceso del cliente"
"Customer My Account (All Pages)","Customer My Account (All Pages)"
"Customer My Account Address Book","Customer My Account Address Book"
"Customer My Account Address Edit Form","Customer My Account Address Edit Form"
"Customer My Account Dashboard","Customer My Account Dashboard"
"Customer Since","Cliente Desde"
"Customer View","Vista de cliente"
"Customer website ID must be specified when using the website scope","Customer website ID must be specified when using the website scope"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Customers","Clientes"
"Customers Only","Sólo clientes"
"Customers Section","Sección"
"Date","Fecha"
"Date Added","Fecha agregada"
"Date of Birth","Fecha nacimiento"
"Day","Dia"
"Days in Wishlist","Días en la lista de artículos de interés"
"DD","DD"
"Default Addresses","Direcciones por defecto"
"Default Billing Address","Dirección de facturación por defecto"
"Default Email Domain","Dominio de correo electrónico por defecto"
"Default Group","Grupo por defecto"
"Default Shipping Address","Dirección de envío por defecto"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Default Welcome Email","Correo de bienvenida por defecto"
"Delete","Borrar"
"Delete Address","Borrar la dirección"
"Delete Customer","Eliminar cliente"
"Delete customer address","Eliminar dirección del cliente"
"Delete Customer Group","Borrar el grupo de clientes"
"Deleted Stores","Tiendas borradas"
"Details","Detalles"
"Disabled","Deshabilitado"
"Edit","Editar"
"Edit Account Info","Editar cuenta"
"Edit Account Information","Editar la información de la cuenta"
"Edit Address","Editar la dirección"
"Edit Address Entry","Editar la dirección"
"Edit Customer Group ""%s""","Editar el grupo de clientes ""%s"""
"Edit Customer Groups","Editar los grupos de clientes"
"Edit Customer's Address","Editar las direcciones de los clientes"
"Edit Group","Editar el grupo"
"Edit Newsletters","Editar los boletines de noticias"
"Email","Correo electrónico"
"Email Address","Dirección de correo electrónico"
"Email Sender","Remitente de correo electrónico"
"Email:","Email:"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Entity collection is expected.","Entity collection is expected."
"Excel XML","Excel XML"
"Failed to confirm customer account.","La confirmación de la cuenta del cliente ha fallado"
"Fax","Fax"
"First Name","Nombre"
"Forgot and Remind Email Sender","Forgot and Remind Email Sender"
"Forgot Email Template","Plantilla para recordatorio de correo electrónico"
"Forgot Password","Forgot Password"
"Forgot Your Password","Forgot Your Password"
"Forgot Your Password?","Olvidó su contraseña?"
"Form Fields Before","Form Fields Before"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde Mi Cuenta usted puede ver un resumen de sus actividades recientes y actualizar la información de su cuenta. Seleccione un enlace inferior para ver o editar información."
"Gender","Gender"
"Gender is required.","Gender is required."
"General Subscription","Suscripción general"
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Global","Global"
"Group","Grupo"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group Information","Información del grupo"
"Group Name","Nombre del grupo"
"Guest","Invitado"
"Hello, %s!","Hola, %s!"
"HTML","HTML"
"ID","ID"
"If you believe this is an error, please contact us at %s","If you believe this is an error, please contact us at %s"
"If you have an account with us, please log in.","Si tiene una cuenta con nosotros, por favor acceda con sus datos."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid billing address for (%s)","Invalid billing address for (%s)"
"Invalid current password","La contraseña actual es inválida"
"Invalid customer data","Los datos del cliente son inválidos"
"Invalid email address ""%s"".","Invalid email address ""%s""."
"Invalid email address.","Invalid email address."
"Invalid login or password.","Usuario o password no correctos"
"Invalid password reset token.","Invalid password reset token."
"Invalid shipping address for (%s)","Invalid shipping address for (%s)"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid website, skipping the record, line: %s","Invalid website, skipping the record, line: %s"
"IP Address","Dirección  IP"
"Last Activity","Ultima actividad"
"Last Date Subscribed","Last Date Subscribed"
