"Add","Agregar"
"Add gift message for shopping cart","Add gift message for shopping cart"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Add gift messages to products of shopping cart"
"Add gift options","Add gift options"
"Add gift options for Individual Items","Add gift options for Individual Items"
"Add gift options for the Entire Order","Add gift options for the Entire Order"
"Add gift options.","Add gift options."
"Allow Gift Messages for Order Items","Permitir mensajes de regalo para los artículos del Pedido"
"Allow Gift Messages on Order Level","Permitir mensajes de regalo a nivel del Pedido"
"An error occurred while saving the gift message.","An error occurred while saving the gift message."
"Are you sure?","Está seguro?"
"Cancel","Cancelar"
"Do you have any gift items in your order?","Tiene algún artículo de regalo en su Pedido?"
"Edit","Editar"
"From","De"
"Gift Message","Mensaje de regalo"
"Gift Message API","Gift Message API"
"Gift Options","Gift Options"
"Gift Options for","Gift Options for"
"Gift Options for Individual Items","Gift Options for Individual Items"
"Gift Options for the Entire Order.","Gift Options for the Entire Order."
"Gift Options for this address.","Gift Options for this address."
"Item %d of %d","Artículo %d de %d"
"Message","Mensaje"
"No","No"
"OK","OK"
"Save Gift Message","Guardar el mensaje de regalo"
"The gift message has been removed","The gift message has been removed"
"The gift message has been saved","The gift message has been saved"
"The gift message has been saved.","The gift message has been saved."
"To","Para"
"Unknown entity type","Tipo desconocido de entidad"
"Use config","Usar configuración"
"Yes","Sí"
"You can leave this box blank if you do not wish to add a gift message for the item.","You can leave this box blank if you do not wish to add a gift message for the item."
"You can leave this box blank if you do not wish to add a gift message for this address.","You can leave this box blank if you do not wish to add a gift message for this address."
"You can leave this box blank if you do not wish to add a gift message for whole order.","You can leave this box blank if you do not wish to add a gift message for whole order."
