"(Make sure you keep it in a safe place.)","(Asegúrese de guardarlo en un lugar seguro.)"
"(Optional. Leave blank for no prefix)","(Es opcional. Deje en blanco si no desea utilizar un prefijo)"
"(ver. %s)","(Ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.)."
"Admin Path","Admin Path"
"After successfull installation please click the button below.","Cuando la instalación haya finalizado con éxito, presione el botón inferior."
"All packages were installed, click 'OK' to continue with installation.","All packages were installed, click 'OK' to continue with installation."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativamente puede utilizar el método 'Descargas y Actualizaciones Manuales'."
"Base URL","Base URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Antes de ir a su tienda, por favor tome nota de su clave de encriptación (Magento la usa para encriptar contraseñas, tarjetas de crédito y más)."
"Check out our","Mire nuestro"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Marque esta casilla sólo si no es posible validar automáticamente URL seguras. Por ejemplo si se requiere una autentificación HTTP."
"Check this box only if it is not possible to automatically validate the Base URL.","Check this box only if it is not possible to automatically validate the Base URL."
"Choose this if you would like to test frontend and backend functionality.","Elija esto si quiere probar la funcionalidad de frontend y de backend"
"Configuration","Configuración"
"Confirm Password","Confirmar contraseña"
"Connection","Conexión"
"Continue","Continuar"
"Continue After Manual Download","Continuar después de la descarga manual"
"Continue Full Download / SVN Installation","Continuar descarga completa / instalación SVN "
"Create Admin Account","Crear una cuenta de Administración"
"Currently this is the most stable state available for Magento packages.","Por el momento, esta es la version disponible más estable de paquetes de Magento."
"Database","Database"
"Database Connection","Conexión a la base de datos"
"Database connection error.","Database connection error."
"Database host","Nombre del host de la base de datos"
"Database Name","Nombre de la base de datos"
"Database Name cannot be empty.","Database Name cannot be empty."
"Database server does not support the InnoDB storage engine.","Database server does not support the InnoDB storage engine."
"Database Type","Database Type"
"Database user name","Nombre del usuario de la base de datos"
"Database user password","Contraseña de la base de datos"
"Default Currency","Moneda por defecto"
"Download","Descargar"
"Download Magento Core Modules and Updates","Descargar los módulos del núcleo de Magento y las actualizaciones"
"Downloading and installing Magento, please wait...","Descargando e instalando Magento, por favor espere..."
"Email","Correo electrónico"
"Email Address","Dirección de correo electrónico"
"Enable Charts","Enable Charts"
"Enable this option if you want the charts to be displayed on Dashboard.","Enable this option if you want the charts to be displayed on Dashboard."
"Enable this option only if you have SSL available.","Habilite esta opcion sólo si tiene SSL disponible."
"Encryption Key","Clave de encriptación"
"File System","File System"
"First Name","Nombre"
"Full Download / SVN Installation","Descarga completa / Instalación SVN"
"Get ready to experience Open-Source eCommerce Evolved.","Prepárese para experimentar la evolución del comercio electrónico de código abierto."
"Go to Backend","Ir al Backend"
"Go to Frontend","ir al Frontend"
"Having trouble installing Magento?","Tiene problemas para instalar Magento?"
"Help Us to Keep Magento Healthy","Ayúdenos a mantener saludable a Magento"
"Host","Host"
"I agree to the above terms and conditions.","I agree to the above terms and conditions."
"If you are a developer and would like to have the latest public updates, choose this option.","Si usted es un desarrollador y le gustaría conocer las últimas actualizaciones, elija esta opción."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Si está ejecutando PHP como CGI, su proceso PHP podria ejecutarse bajo el mismo usuario que el que usó cuando subió los archivos de Magento."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Si no quiere o no puede que sus directorios de Magento tengan permisos de escritura para el proceso web, podría usar el ejecutable PEAR ubicado en la raíz de la instalación de Magento."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below."," Si ha descargado el paquete completo o ha instalado Magento a través de SVN, debería omitir los paquetes de instalación y validación, presionando el botón inferior."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Si desea gestionar los paquetes de Magento a través de la interfase de administración web, deberá tener permisos de escritura web aplicados a todas las carpetas y archivos de magento."
"If your server is running on MS Windows, most probably you will not need to change anything.","Si su servidor está ejecutándose en un sistema Windows,lo más probable es que no necesite cambiar nada."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","En otros casos necesitará asignar permisos de escritura a los archivos de Magento para el usuario bajo el cual está ejecutandose el proceso del servidor web."
"Installation","Instalación"
"Installation Guide","Guía de instalación"
"Installer does not exist for %s database type","Installer does not exist for %s database type"
"Last Name","Apellido"
"License Agreement","License Agreement"
"Locale","Local"
"Locale settings","Configuraciones locales"
"Localization","Ubicación"
"Login Information","Información de acceso"
"Magento","Magento"
"Magento Connect Manager Deployment","Magento Connect Manager Deployment"
"Magento Installation Wizard","Asistente de instalación de Magento"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento usa esta clave para encriptar contraseñas, tarjetas de crédito y más. Si deja este campo vacío, Magento creará una clave de encriptación y se la mostrará en la próxima página."
"Manual Downloads and Upgrades","Descargas y Actualizaciones manuales"
"No resource for %s DB model.","No resource for %s DB model."
"One of PHP Extensions ""%s"" must be loaded.","One of PHP Extensions ""%s"" must be loaded."
"Package Management through the Web","Gestión de paquetes a través de la Web"
"Password","Contraseña"
"Password Confirmation","Confirmación de la contraseña"
"Path ""%s"" must be writable.","Path ""%s"" must be writable."
"Personal Information","Información personal"
"PHP extension ""%s"" must be loaded.","PHP extension ""%s"" must be loaded."
"PHP Extension '%s' loaded","La extensionPHP '%s' cargada"
"PHP Extensions ""%s"" must be loaded.","PHP Extensions ""%s"" must be loaded."
"Please correct the user data and try again.","Please correct the user data and try again."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Por favor asegúrese de que <code>mod_rewrite</code> está habilitado en la configuración de Apache."
"Please note that it is much less stable than beta.","Por favor, tome en cuanta que es mucho menos estable que beta."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option."
"Please set all required settings before clicking Continue","Por favor, establezca todos los ajustes necesarios antes de presionar Continuar"
"Preferred stability: %s","Estabilidad preferida: %s"
"Proceed With Automatic Download (%s)","Proceder con la descarga automatica (%s)"
"Provide a complete base URL for SSL connection. For example: %s","Provea una base URL completa para una conexión SLL. Por ejemplo: %s"
"Report All Bugs","Informar las fallas"
"Required Fields","Campos requeridos"
"Response from server isn't valid.","Response from server isn't valid."
"Run admin interface with SSL","Ejecutar la interfase de administración con SSL"
"Run this in your shell from Magento root folder:","Ejecute esto en su motor desde la carpeta raíz de Magento:"
"Save Session Data In","Save Session Data In"
"Save Session Files In","Save Session Files In"
"Secure Base URL","Base URL segura"
"Session Storage Options","Session Storage Options"
