"Alert Email Sender","Alerta de correo electrónico"
"Alert subscription has been saved.","Alert subscription has been saved."
"Allow Alert When Product Comes Back in Stock","Allow Alert When Product Comes Back in Stock"
"Allow Alert When Product Price Changes","Allow Alert When Product Price Changes"
"Click here not to receive alerts for this product","Presione aqui para no recibir alertas para este producto"
"Error Email Recipient","Error del correo electrónico del destinatario"
"Error Email Sender","Error del correo electrónico del remitente"
"Error Email Template","Error de la plantilla del correo electrónico"
"Frequency","Frecuencia"
"Not enough parameters.","Not enough parameters."
"Price Alert Email Template","Price Alert Email Template"
"Price:","Precio:"
"Product Alerts","Alertas del producto"
"Product alerts Cron error","Error de Cron de las alertas del producto"
"Product Alerts Run Settings","Configuraciones de ejecución de alertas del producto"
"Product price alert","Alerta de precio del producto"
"Product stock alert","Alerta de existencia del producto"
"Regular Price:","Regular Price:"
"Sign up for price alert","Regístrese para la alerta de precio"
"Sign up to get notified when this product is back in stock","Regístrese para ser notificado cuando este producto se encuentre de nuevo en existencia"
"Special price:","Precio especial:"
"Start Time","Hora de inicio"
"Stock Alert Email Template","Stock Alert Email Template"
"The alert subscription has been deleted.","The alert subscription has been deleted."
"The alert subscription has been saved.","The alert subscription has been saved."
"The product is not found.","The product is not found."
"The product was not found.","The product was not found."
"Unable to update the alert subscription.","Unable to update the alert subscription."
"Unsubscribe from all price alerts","Desubscribirse de todas las alertas de precios"
"Unsubscribe from all stock alerts","Desubscribirse de todas las alertas de existencias"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Usted está recibiendo esta notificación porque se subscribió para recibir alertas cuando vuelva a haber existencia de los siguientes productos:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Usted está recibiendo esta notificación porque se subscribió para recibir alertas cuando cambien los precios de los siguientes productos:"
"You will no longer receive price alerts for this product.","You will no longer receive price alerts for this product."
"You will no longer receive stock alerts for this product.","You will no longer receive stock alerts for this product."
"You will no longer receive stock alerts.","You will no longer receive stock alerts."
