"Add","Añadir"
"ALL","TODO"
"ANY","CUALQUIERA"
"Apply","Aplicar"
"by","para"
"Conditions Combination","Conditions Combination"
"contains","contiene"
"Customer Groups must be specified.","Customer Groups must be specified."
"does not contain","no contiene"
"End Date must be greater than Start Date.","End Date must be greater than Start Date."
"equals or greater than","es igual o superior a"
"equals or less than","igual o inferior a"
"FALSE","FALSO"
"greater than","superior a"
"If %s of these conditions are %s:","Si %s de estas condiciones són %s:"
"Invalid discount amount.","El importe de descuento no es válido"
"is","es"
"is not","no es"
"is not one of","no es uno de"
"is one of","es uno de"
"less than","menos de"
"Open Chooser","Abrir el selector"
"Perform following actions","Realizar las siguientes acciones"
"Please choose a condition to add...","Por favor, seleccione una condición para añadir&hellip;"
"Please choose an action to add...","Por favor, seleccione una acción para añadir&hellip;"
"Remove","Eliminar"
"There is no information about associated entity type ""%s"".","There is no information about associated entity type ""%s""."
"to","hasta"
"TRUE","VERDADERO"
"Websites must be specified.","Websites must be specified."
