"""%s"" coupon code is not valid.","El código de cupón ""%s"" no es válido."
"%s","%s"
"%s / %s rate:","%s / %s ritmo:"
"%s for %s","%s per %s"
"%s order(s) cannot be canceled","%s order(s) cannot be canceled"
"%s order(s) have been canceled.","%s order(s) have been canceled."
"%s order(s) have been put on hold.","%s order(s) have been put on hold."
"%s order(s) have been released from holding status.","%s order(s) have been released from holding status."
"%s order(s) were not put on hold.","%s order(s) were not put on hold."
"%s order(s) were not released from holding status.","%s order(s) were not released from holding status."
"* - Enter custom price excluding tax","* - Introducir el precio sin impuestos"
"* - Enter custom price including tax","* - Introducir el precio con impuestos"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Please Select --"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"About This Order:","Sobre este Pedido:"
"About This Profile:","About This Profile:"
"About Your Invoice","About Your Invoice"
"About Your Order","Sobre su Pedido:"
"About Your Refund","About Your Refund"
"About Your Shipment","About Your Shipment"
"Accept or Deny Payment","Accept or Deny Payment"
"Accept Payment","Accept Payment"
"Account Information","Informacion de la cuenta"
"Action","Acción"
"Actions","Acciones"
"Activate","Activate"
"Active","Active"
"Add","Añadir"
"Add comment to order","Añadir comentario"
"Add New Address","Añadir una nueva dirección"
"Add new comment to credit memo","Add new comment to credit memo"
"Add new comment to shipment","Añadir nuevo comentario a envío"
"Add new tracking number","Añadir nuevo número de seguimiento"
"Add Order Comments","Añadir comentarios al Pedido"
"Add Package","Add Package"
"Add Products","Añadir productos"
"Add Selected Product(s) to Option","Añadir producto seleccionado(s) a la opción"
"Add Selected Product(s) to Order","Añadir producto(s) seleccionado(s) al Pedido"
"Add Selected Product(s) to Package","Add Selected Product(s) to Package"
"Add to Cart","Añadir al carrito"
"Add To Order","Añadir al Pedido"
"Add Tracking Number","Añadir número de seguimiento"
"Additional Product Info","Additional Product Info"
"Address","Dirección"
"Address model is not defined.","Address model is not defined."
"Adjustment Fee","Ajuste de tarifa"
"Adjustment Refund","Ajuste de reembolso"
"Agreement Information","Agreement Information"
"Allow Reorder","Permitir Pedidos repetidos"
"Amount","Importe"
"Amount: %s.","Amount: %s."
"An error occurred while assigning order status. Status has not been assigned.","An error occurred while assigning order status. Status has not been assigned."
"An error occurred while creating shipping label.","An error occurred while creating shipping label."
"An error occurred while saving order status. The status has not been added.","An error occurred while saving order status. The status has not been added."
"An error occurred while unassigning order status.","An error occurred while unassigning order status."
"An error occurred while updating the order address. The address has not been changed.","An error occurred while updating the order address. The address has not been changed."
"An item option with code %s already exists.","An item option with code %s already exists."
"Anchor Custom Title","Anchor Custom Title"
"Append Comments","Anexar comentarios"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar código de cupón"
"Approved the payment online.","Approved the payment online."
"Are you sure you want to accept this payment?","Are you sure you want to accept this payment?"
"Are you sure you want to cancel this order?","¿Está seguro de cancelar este Pedido?"
"Are you sure you want to delete all items from shopping cart?","Are you sure you want to delete all items from shopping cart?"
"Are you sure you want to deny this payment?","Are you sure you want to deny this payment?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure you want to send Creditmemo email to customer?","Are you sure you want to send Creditmemo email to customer?"
"Are you sure you want to send Invoice email to customer?","Are you sure you want to send Invoice email to customer?"
"Are you sure you want to send order email to customer?","Are you sure you want to send order email to customer?"
"Are you sure you want to send Shipment email to customer?","Are you sure you want to send Shipment email to customer?"
"Are you sure you want to void the payment?","Are you sure you want to void the payment?"
"Are you sure?","¿Está seguro?"
"Are you sure? This order will be canceled and a new one will be created instead","Are you sure? This order will be canceled and a new one will be created instead"
"Assign Order Status to State","Assign Order Status to State"
"Assign Status to State","Assign Status to State"
"Assignment Information","Assignment Information"
"At least a payment ID must be set.","At least a payment ID must be set."
