"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","Acciones"
"Active","Activo"
"Add New Rule","Agregar nueva regla"
"Alphabetical","Alphabetical"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Apply","Aplicar"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar la regla sólo si se dan las siguientes condiciones (dejar en blanco para todos los productos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar la regla sólo a los artículos del carrito que cumplan las siguientes condiciones (dejar en blanco para todos los artículos)"
"Apply the rule to cart items matching the following conditions","Aplicar la regla a los artículos del carrito que cumplan las siguientes condiciones"
"Apply To","Apply To"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Are you sure you want to delete the selected coupon(s)?","Are you sure you want to delete the selected coupon(s)?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
"Buy X get Y free (discount amount is Y)","Compre X y consiga Y gratis (el importe del descuento es Y)"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Can't acquire coupon.","Can't acquire coupon."
"Cart Attribute","Atributo del carrito"
"Catalog","Catálogo"
"Code Format","Code Format"
"Code Length","Code Length"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Conditions","Condiciones"
"Conditions combination","Combinación de condiciones"
"Coupon","Coupon"
"Coupon Code","Código del Cupón"
"Coupon Qty","Coupon Qty"
"Coupon with the same code","Coupon with the same code"
"Coupons Information","Coupons Information"
"Created On","Created On"
"Customer Groups","Grupos de cliente"
"Dash Every X Characters","Dash Every X Characters"
"Date Expire","Fecha de caducidad"
"Date Start","Fecha de inicio"
"Default Label","Default Label"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Description","Descripción"
"Discount Amount","Discount Amount"
"Discount Qty Step (Buy X)","Paso de cantidad de descuento (compra X)"
"Edit Rule","Editar la regla"
"Edit Rule '%s'","Editar la regla '%s'"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Fixed amount discount","Importe fijo del descuento"
"Fixed amount discount for whole cart","Importe fijo del descuento para todo el carrito"
"For matching items only","Sólo para los artículos que coinciden"
"For shipment with matching items","Para envíos con artículos que coinciden"
"FOUND","FOUND"
"Free Shipping","Free Shipping"
"From Date","Desde fecha"
"General Information","Información general"
"Generate","Generate"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If empty no separation.","If empty no separation."
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Inactive","Inactivo"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Labels"
"Manage Coupon Codes","Manage Coupon Codes"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"New Rule","Nueva regla"
"No","No"
"No Coupon","No Coupon"
"NOT FOUND","NOT FOUND"
"NOT LOGGED IN","SESIÓN NO INICIADA"
"Not valid data provided","Not valid data provided"
"Number of Uses","Number of Uses"
"Numeric","Numeric"
"Payment Method","Método de pago"
"Percent of product price discount","Porcentaje de descuento del precio del producto"
"Period","Period"
"Price in cart","Precio en el carrito"
"Priority","Prioridad"
"Product attribute combination","Combinación de atributos del producto"
"Products subselection","Products subselection"
"Promotions","Promociones"
"Public In RSS Feed","Público en Feed RSS"
"Quantity in cart","Cantidad en el carrito"
"Row total in cart","Total de filas en el carrito"
"Rule Information","Información de la regla"
"Rule is not defined","Rule is not defined"
"Rule Name","Nombre de la regla"
"Sales Discount Amount","Sales Discount Amount"
"Sales Subtotal Amount","Sales Subtotal Amount"
"Sales Total Amount","Sales Total Amount"
"Save and Continue Edit","Save and Continue Edit"
"Shipping Country","País de envío"
"Shipping Method","Método de envío"
"Shipping Postcode","Código postal de envío"
"Shipping Region","Región de envío"
"Shipping State/Province","Estado/Provincia de envío"
"Shopping Cart Price Rule","Regla de precios del carrito de compras"
"Shopping Cart Price Rules","Reglas de precios del carrito de compras"
"Special Price","Special Price"
"Specific Coupon","Specific Coupon"
"Status","Estado"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Store View Specific Labels","Store View Specific Labels"
"Subtotal","Subtotal"
"Subtotal Amount","Subtotal Amount"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","This rule no longer exists."
"Times Used","Times Used"
"To Date","A fecha"
"To Fixed Value","Para valor fijo"
"To Percentage","Para porcentaje"
"Total","Total"
"Total Amount","total amount"
"Total Items Quantity","Cantidad de artículos totales"
"total quantity","total quantity"
"Total Weight","Peso total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Unable to create requested Coupon Qty. Please check settings and try again."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update prices using the following information","Actualizar precios usando la siguiente información"
"Update product's %s %s: %s","Actualizar producto's %s %s: %s"
"Update the Product","Actualizar el producto"
"Usage limit enforced for logged in customers only","Usage limit enforced for logged in customers only"
"Use Auto Generation","Use Auto Generation"
"Used","Used"
"Uses per Coupon","Uses per Coupon"
"Uses per Customer","Uses per Customer"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Wrong rule specified."
"Yes","Sí"
