" was not delivered nor scanned","no ha sido despachado ni escaneado"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package."
"1 Day Freight","1 día de flete"
"2 Day","2 Day"
"2 Day AM","2 Day AM"
"2 Day Freight","2 días de flete"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 días de flete"
"3 Day Select","3 Day Select"
"Access ID","ID de acceso"
"Access License Number","Access License Number"
"Account ID","ID de cuenta"
"Account Number","Account Number"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"Adult","Adult"
"Adult Signature Required","Adult Signature Required"
"Allowed Methods","Allowed Methods"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges."
"Break bulk economy","Break bulk economy"
"Break bulk express","Break bulk express"
"Business Service Center","Centro de servicos de negocios"
"Calculate Handling Fee","Calcular costo de transporte"
"Canada Standard","Canada Standard"
"Cannot identify measure unit for %s","Cannot identify measure unit for %s"
"Cannot identify weight unit for %s","Cannot identify weight unit for %s"
"Cannot retrieve shipping rates","No se pudieron obtener las tarifas de envío"
"Centimeters","Centimeters"
"cm","cm"
"Commercial","Commercial"
"Configuration","Configuration"
"Container","Contenedor"
"Content Type","Content Type"
"Customer Packaging","Customer Packaging"
"Customer services","Customer services"
"Customer Supplied Package","Customer Supplied Package"
"Debug","Debug"
"Default Package Height","Default Package Height"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"Delivered","Entregado"
"Delivery Confirmation","Delivery Confirmation"
"Depth","Depth"
"Destination facility code is empty","Destination facility code is empty"
"Destination Type","Destination Type"
"Development","Development"
"DHL","DHL"
"DHL (Deprecated)","DHL (Deprecated)"
"DHL service is not available at %s date","DHL service is not available at %s date"
"Direct","Direct"
"Displayed Error Message","Mensaje de error mostrado"
"Divide Order Weight","Divide Order Weight"
"Documents","Documents"
"Domestic economy select","Domestic economy select"
"Domestic express","Domestic express"
"Domestic Shipment Days","Domestic Shipment Days"
"Drop Box","Caja desplegable"
"Dropoff","Entrega"
"Easy shop","Easy shop"
"Economy select","Economy select"
"Empty response","Respuesta vacía"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled for Checkout","Enabled for Checkout"
"Enables/Disables SSL verification of Magento server by UPS.","Enables/Disables SSL verification of Magento server by UPS."
"Error #%s : %s","Error #%s : %s"
"Error #%s : %s (%s)","Error #%s : %s (%s)"
"Error #%s: %s","Error #%s: %s"
"Europack","Europack"
"Europe First Priority","Primera prioridad europea"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped"
"Express","Express"
"Express 10:30","Express 10:30"
"Express 10:30 AM","Expreso 10:30 AM"
"Express 12:00","Express 12:00"
"Express 9:00","Express 9:00"
"Express easy","Express easy"
"Express envelope","Express envelope"
"Express Saturday","Sábado Express"
"Express Saver","Ahorro Express"
"Express worldwide","Express worldwide"
"Failed to parse xml document: %s","Failed to parse xml document: %s"
"FedEx","FedEx"
"FedEx 10kg Box","Caja de 10 kg de FedEx"
"FedEx 25kg Box","Caja de 25 kg de FedEx"
"FedEx Box","Caja FedEx"
"FedEx Envelope","Sobre FedEx"
"FedEx Pak","Paquete FedEx"
"FedEx Tube","Tubo FedEx"
"First Overnight","Primero nocturno"
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"First-Class Mail Large Envelope","First-Class Mail Large Envelope"
"First-Class Mail Large Postcards","First-Class Mail Large Postcards"
"First-Class Mail Letter","First-Class Mail Letter"
"First-Class Mail Parcel","First-Class Mail Parcel"
"First-Class Mail Postcards","First-Class Mail Postcards"
"First-Class Package International Service","First-Class Package International Service"
"First-Class Package Service","First-Class Package Service"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"Flat","Plana"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free Method","Free Method"
"Free Shipping with Minimum Order Amount","Free Shipping with Minimum Order Amount"
"Freight","Freight"
"Freight worldwide","Freight worldwide"
"Gateway URL","URL de la pasarela"
"Gateway XML URL","URL XML de la pasarela"
"Gift","Gift"
"Girth","Girth"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Globalmail business","Globalmail business"
"Ground","Tierra"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Costos de envío aplicados"
"Handling Fee","Handling Fee"
"Height","Height"
"Height, width and length should be equal or greater than %s","Height, width and length should be equal or greater than %s"
"Home Delivery","Entrega a domicilio"
"Hub ID","Hub ID"
"inch","inch"
"Inches","Inches"
"Indirect","Indirect"
"International Economy","Internacional económico"
"International Express","Expreso internacional"
"International First","Primera internacional"
"International Ground","International Ground"
"International Priority","Prioridad Internacional"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","Flete internacional económico"
"Intl Priority Freight","Flete de prioridad internacional"
"Jetline","Jetline"
"Jumbo box","Jumbo box"
"Key","Key"
"Kilograms","Kilograms"
"Large","Amplitud"
"Large Express Box","Large Express Box"
"Length","Length"
"Letter","Carta"
"Library Mail Parcel","Library Mail Parcel"
"Live","Live"
"Machinable","Machinable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso máximo del paquete (por favor, consulte a su transporte para la carga máxima soportada)"
"Media Mail Parcel","Media Mail Parcel"
"Medical express","Medical express"
"Medium Express Box","Medium Express Box"
"Merchandise","Merchandise"
"Meter Number","Meter Number"
"Minimum Order Amount for Free Shipping","Minimum Order Amount for Free Shipping"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)"
"Mode","Mode"
"National Freight","National Freight"
"Next Afternoon","A la tarde siguiente"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","No"
"No packages for request","No packages for request"
"Non Documents","Non documents"
"Non-rectangular","No rectangular"
"None","None"
"Not Required","Not Required"
"Order","Pedido"
"Order #%s","Order #%s"
"Origin of the Shipment","Origin of the Shipment"
"Origin serviceAreaCode is missing","Origin serviceAreaCode is missing"
"Other","Other"
"Others","Others"
"Package","Paquete"
"Package content is missing","Package content is missing"
"Package Description","Descripción del paquete"
"Packages Request Type","Packages Request Type"
"Packaging","Empaque"
"PAK","PAK"
"Pallet","Pallet"
"Parcel","Paquete"
"Password","Contraseña"
"Pickup Method","Pickup Method"
"Piece Id barcode is missing","Piece Id barcode is missing"
"Piece number information is missing","Piece number information is missing"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Please, specify origin country","Please, specify origin country"
"Pounds","Pounds"
"Priority Mail","Correo electrónico prioritario"
