"%1$s has been updated in your wishlist.","%1$s has been updated in your wishlist."
"%d product(s) have been added to shopping cart: %s.","%d product(s) have been added to shopping cart: %s."
"%s for ""%s"".","%s for ""%s""."
"%s has been moved to wishlist %s","%s has been moved to wishlist %s"
"%s's Wishlist","Lista de artículos de interés de %s"
"* Required Fields","* Campos Requeridos"
"Add All to Cart","Agregar todo al carrito"
"Add to Cart","Agregar al carrito"
"Add to Compare","Add to Compare"
"Add to Wishlist","Agregar a la lista de artículos de interés"
"Added From","Added From"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist."
"An error occurred while adding item to wishlist: %s","An error occurred while adding item to wishlist: %s"
"An error occurred while deleting the item from wishlist.","An error occurred while deleting the item from wishlist."
"An error occurred while deleting the item from wishlist: %s","An error occurred while deleting the item from wishlist: %s"
"An error occurred while updating wishlist.","An error occurred while updating wishlist."
"Are you sure you want to remove this product from your wishlist?","¿Está seguro de quitar este producto de su lista de artículos de interés?"
"Are you sure you would like to remove this item from the wishlist?","¿Está seguro que quiere eliminar este artículo de su lista de interés?"
"Back","Volver atrás"
"Can't delete item from wishlist","Can't delete item from wishlist"
"Can't save description %s","No se puede guardar la descripción %s"
"Can't update wishlist","Can't update wishlist"
"Cannot add item to shopping cart","Cannot add item to shopping cart"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Cannot add the selected product to shopping cart because the product was removed from the wishlist"
"Cannot configure product","Cannot configure product"
"Cannot load wishlist item","Cannot load wishlist item"
"Cannot move item to wishlist","Cannot move item to wishlist"
"Cannot specify product.","Cannot specify product."
"Cannot specify wishlist item.","Cannot specify wishlist item."
"Cannot specify wishlist.","Cannot specify wishlist."
"Cannot update wishlist","Cannot update wishlist"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque esta casilla si quiere agregar un enlace a un feed de RSS para su lista de artículos de interés."
"Click for price","Click for price"
"Comment","Comentario"
"Comment:","Comment:"
"Configure Wishlist Item","Configure Wishlist Item"
"Configured Price:","Configured Price:"
"Could not find wishlist","Could not find wishlist"
"Customer My Account My Wishlist","Customer My Account My Wishlist"
"Customer My Account Wishlist Sharing Form","Customer My Account Wishlist Sharing Form"
"Customer Shared Wishlist View","Customer Shared Wishlist View"
"Date Added","Date Added"
"Days in Wishlist","Days in Wishlist"
"Display Wishlist Summary","Display Wishlist Summary"
"Edit","Edit"
"Email address can't be empty.","La dirección de correo no puede estar vacía."
"Email addresses, separated by commas","Direcciones de correo electrónico separadas por comas"
"Email Sender","Remitente de correo electrónico"
"Email Template","Plantilla de correo electrónico"
"Enabled","Habilitado"
"General Options","Opciones generales"
"Go to Wishlist","Ir a la lista de artículos de interés"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for wishlist options rendering doesn't implement required interface."
"In stock","En Existencia"
"Last Added Items","Ultimos artículos agregados"
"Message","Mensaje"
"My Wishlist","Mi lista de artículos de interés"
"My Wishlist (%d item)","Mi lista de artículos de interés (%d artículo)"
"My Wishlist (%d items)","Mi lista de artículos de interés (%d artículos)"
"My Wishlist <small>(%d)</small>","My Wishlist <small>(%d)</small>"
"My Wishlist Link","My Wishlist Link"
"Options Details","Options Details"
"Out of stock","Sin Existencias"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor escriba direcciones de correo electrónico válidas separadas por comas. Por ejemplo juan@dominio.com, jose@dominio.com"
"Please input a valid email address.","Please input a valid email address."
"Please, enter your comments...","Por favor, escriba sus comentarios..."
"Price","Price"
"Product","Producto"
"Product Details and Comment","Product Details and Comment"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Product(s) %s have required options. Each of them can be added to cart separately only."
"Qty","Cantidad"
"Remove Item","Quitar artículo"
"Remove This Item","Quitar este artículo"
"Requested cart item doesn't exist","Requested cart item doesn't exist"
"Requested wishlist doesn't exist","Requested wishlist doesn't exist"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Enlace RSS a la lista de artículos de interés %s's"
"Share Options","Share Options"
"Share Wishlist","Compartir la lista de artículos de interés"
"Share Your Wishlist","Compartir mi lista de artículos de interés"
"Sharing Information","Compartiendo información"
"SKU","SKU"
"This product(s) is currently out of stock","This product(s) is currently out of stock"
"This Wishlist has no Items","This Wishlist has no Items"
"Unable to add the following product(s) to shopping cart: %s.","Unable to add the following product(s) to shopping cart: %s."
"Update Wishlist","Actualizar la lista de artículos de interés"
"User Description","User Description"
"View Details","View Details"
"View Product","Ver el producto"
"What's this?","What's this?"
"Wishlist","Lista de artículos de interés"
"Wishlist could not be created.","Wishlist could not be created."
"Wishlist is empty now.","La lista de artículos de interés está ahora vacía."
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Compartiendo la lista de artículos de interés"
"You have no items in your wishlist.","No tiene artículos en su lista de artículos de interés."
"Your Wishlist has been shared.","Your Wishlist has been shared."
